,K,O,S,IC,OC,iprec,wprec,cycle
585,1,14,1,256,1024,8,6,101846
586,1,14,1,256,1024,8,7,102017
587,1,14,1,256,1024,8,8,102188
588,1,14,1,1024,256,2,2,23639
589,1,14,1,1024,256,2,3,29185
590,1,14,1,1024,256,2,4,30550
591,1,14,1,1024,256,2,5,40279
592,1,14,1,1024,256,2,6,41643
593,1,14,1,1024,256,2,7,43009
594,1,14,1,1024,256,2,8,44375
595,1,14,1,1024,256,3,2,25729
596,1,14,1,1024,256,3,3,33366
597,1,14,1,1024,256,3,4,34731
598,1,14,1,1024,256,3,5,51403
599,1,14,1,1024,256,3,6,51574
600,1,14,1,1024,256,3,7,51745
601,1,14,1,1024,256,3,8,52737
602,1,14,1,1024,256,4,2,27820
603,1,14,1,1024,256,4,3,37547
604,1,14,1,1024,256,4,4,38913
605,1,14,1,1024,256,4,5,57004
606,1,14,1,1024,256,4,6,58369
607,1,14,1,1024,256,4,7,59734
608,1,14,1,1024,256,4,8,61100
609,1,14,1,1024,256,5,2,29911
610,1,14,1,1024,256,5,3,51745
611,1,14,1,1024,256,5,4,52086
612,1,14,1,1024,256,5,5,100988
613,1,14,1,1024,256,5,6,100994
614,1,14,1,1024,256,5,7,101286
615,1,14,1,1024,256,5,8,101371
616,1,14,1,1024,256,6,2,32001
617,1,14,1,1024,256,6,3,51820
618,1,14,1,1024,256,6,4,52161
619,1,14,1,1024,256,6,5,100991
620,1,14,1,1024,256,6,6,100996
621,1,14,1,1024,256,6,7,101323
622,1,14,1,1024,256,6,8,101409
623,1,14,1,1024,256,7,2,34092
624,1,14,1,1024,256,7,3,51831
625,1,14,1,1024,256,7,4,52172
626,1,14,1,1024,256,7,5,100993
627,1,14,1,1024,256,7,6,101275
628,1,14,1,1024,256,7,7,101548
629,1,14,1,1024,256,7,8,102033
630,1,14,1,1024,256,8,2,36183
631,1,14,1,1024,256,8,3,54273
632,1,14,1,1024,256,8,4,55638
633,1,14,1,1024,256,8,5,100995
634,1,14,1,1024,256,8,6,101694
635,1,14,1,1024,256,8,7,101865
636,1,14,1,1024,256,8,8,102036
637,1,14,1,1024,512,2,2,47276
638,1,14,1,1024,512,2,3,58369
639,1,14,1,1024,512,2,4,61100
640,1,14,1,1024,512,2,5,80556
641,1,14,1,1024,512,2,6,83286
642,1,14,1,1024,512,2,7,86017
643,1,14,1,1024,512,2,8,88748
644,1,14,1,1024,512,3,2,51457
645,1,14,1,1024,512,3,3,66732
646,1,14,1,1024,512,3,4,69462
647,1,14,1,1024,512,3,5,101579
648,1,14,1,1024,512,3,6,101750
649,1,14,1,1024,512,3,7,102742
650,1,14,1,1024,512,3,8,105473
651,1,14,1,1024,512,4,2,55638
652,1,14,1,1024,512,4,3,75094
653,1,14,1,1024,512,4,4,77825
654,1,14,1,1024,512,4,5,114006
655,1,14,1,1024,512,4,6,116737
656,1,14,1,1024,512,4,7,119467
657,1,14,1,1024,512,4,8,122198
658,1,14,1,1024,512,5,2,59820
659,1,14,1,1024,512,5,3,101921
660,1,14,1,1024,512,5,4,102262
661,1,14,1,1024,512,5,5,201340
662,1,14,1,1024,512,5,6,201346
663,1,14,1,1024,512,5,7,201638
