config,latency(ms),power(mWatt)
layer-width_56-height_56-cin_12-cout_44-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,0.138724125,0.026137371006153345
layer-width_56-height_56-cin_12-cout_44-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,0.138740125,0.02635065467024274
layer-width_56-height_56-cin_12-cout_44-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,0.1387135,0.02603075954476137
layer-width_56-height_56-cin_12-cout_44-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,0.138724125,0.026137371006153345
layer-width_56-height_56-cin_12-cout_44-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,0.138740125,0.02635065467024274
layer-width_56-height_56-cin_12-cout_44-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,0.1387135,0.02603075954476137
layer-width_56-height_56-cin_12-cout_44-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,0.138724125,0.026137371006153345
layer-width_56-height_56-cin_12-cout_44-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,0.138740125,0.02635065467024274
layer-width_56-height_56-cin_12-cout_48-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,0.1387135,0.02603075954476137
layer-width_56-height_56-cin_12-cout_48-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,0.138724125,0.026137371006153345
layer-width_56-height_56-cin_12-cout_48-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,0.138740125,0.02635065467024274
layer-width_56-height_56-cin_12-cout_48-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,0.1387135,0.02603075954476137
layer-width_56-height_56-cin_12-cout_48-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,0.138724125,0.026137371006153345
layer-width_56-height_56-cin_12-cout_48-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,0.138740125,0.02635065467024274
layer-width_56-height_56-cin_12-cout_48-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,0.1387135,0.02603075954476137
layer-width_56-height_56-cin_12-cout_48-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,0.138724125,0.026137371006153345
layer-width_56-height_56-cin_12-cout_48-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,0.138740125,0.02635065467024274
layer-width_56-height_56-cin_12-cout_52-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,0.1387135,0.02603075954476137
layer-width_56-height_56-cin_12-cout_52-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,0.138724125,0.026137371006153345
layer-width_56-height_56-cin_12-cout_52-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,0.138740125,0.02635065467024274
layer-width_56-height_56-cin_12-cout_52-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,0.1387135,0.02603075954476137
layer-width_56-height_56-cin_12-cout_52-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,0.138724125,0.026137371006153345
layer-width_56-height_56-cin_12-cout_52-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,0.138740125,0.02635065467024274
layer-width_56-height_56-cin_12-cout_52-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,0.1387135,0.02603075954476137
layer-width_56-height_56-cin_12-cout_52-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,0.138724125,0.026137371006153345
layer-width_56-height_56-cin_12-cout_52-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,0.138740125,0.02635065467024274
layer-width_56-height_56-cin_12-cout_56-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,0.1387135,0.02603075954476137
layer-width_56-height_56-cin_12-cout_56-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,0.138724125,0.026137371006153345
layer-width_56-height_56-cin_12-cout_56-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,0.138740125,0.02635065467024274
layer-width_56-height_56-cin_12-cout_56-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,0.1387135,0.02603075954476137
layer-width_56-height_56-cin_12-cout_56-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,0.138724125,0.026137371006153345
layer-width_56-height_56-cin_12-cout_56-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,0.138740125,0.02635065467024274
layer-width_56-height_56-cin_12-cout_56-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,0.1387135,0.02603075954476137
layer-width_56-height_56-cin_12-cout_56-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,0.138724125,0.026137371006153345
layer-width_56-height_56-cin_12-cout_56-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,0.138740125,0.02635065467024274
layer-width_56-height_56-cin_12-cout_60-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,0.1387135,0.02603075954476137
layer-width_56-height_56-cin_12-cout_60-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,0.138724125,0.026137371006153345
layer-width_56-height_56-cin_12-cout_60-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,0.138740125,0.02635065467024274
layer-width_56-height_56-cin_12-cout_60-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,0.1387135,0.02603075954476137
layer-width_56-height_56-cin_12-cout_60-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,0.138724125,0.026137371006153345
layer-width_56-height_56-cin_12-cout_60-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,0.138740125,0.02635065467024274
layer-width_56-height_56-cin_12-cout_60-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,0.1387135,0.02603075954476137
layer-width_56-height_56-cin_12-cout_60-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,0.138724125,0.026137371006153345
layer-width_56-height_56-cin_12-cout_60-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,0.138740125,0.02635065467024274
layer-width_56-height_56-cin_12-cout_64-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,0.1387135,0.02603075954476137
layer-width_56-height_56-cin_12-cout_64-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,0.138724125,0.026137371006153345
layer-width_56-height_56-cin_12-cout_64-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,0.138740125,0.02635065467024274
layer-width_56-height_56-cin_12-cout_64-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,0.1387135,0.02603075954476137
layer-width_56-height_56-cin_12-cout_64-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,0.138724125,0.026137371006153345
